key,year,mean,sd,sdmean,sdsd,max,difficulty
redistrb,2018,46.305638,24.002805,0.258563,0.153583,192.917613,hard
bigbusnn,2018,66.751982,29.840799,0.275301,0.171591,223.693682,hard
richlaw,2018,65.900113,29.556452,0.268748,0.176095,222.963541,hard
deathapp,2018,54.021646,27.040498,0.266282,0.211829,199.780513,hard
obey,2018,81.608054,32.383286,0.297671,0.171550,252.006710,hard
wronglaw,2018,44.541832,23.496384,0.199026,0.177778,189.568883,moderate
morewelf,2018,45.662369,23.820237,0.229289,0.159547,191.695694,hard
sochelp,2018,47.764629,24.866331,0.232660,0.169741,192.085552,hard
welffeet,2018,45.222226,23.666198,0.250863,0.181154,191.083613,hard
homsbult,2018,62.972869,28.873454,0.264760,0.180085,218.099538,hard
plnuppri,2017,49.727261,25.162919,0.231376,0.173178,197.621192,hard
tstgov,2018,41.426885,29.491415,0.326591,0.166966,140.470997,moderate
trstmed,2018,64.605524,41.181165,0.391283,0.223612,156.881245,moderate
trstpol,2018,68.190806,42.411715,0.437995,0.222569,160.782949,moderate
trstbank,2018,43.050088,30.472092,0.277924,0.184068,141.277101,moderate
prevfr,2017,39.551461,28.415397,0.275664,0.146274,139.190248,moderate
bodimr,2017,43.143602,30.535519,0.317945,0.214764,141.289891,moderate
gpaysup,2018,47.198508,24.517349,0.246096,0.172892,192.510649,hard
tranneed,2018,72.052281,30.776251,0.290120,0.186238,234.116499,hard
remlea,2018,53.029994,26.595421,0.236040,0.178644,199.395206,hard
