key,year,mean,sd,sdmean,sdsd,option1,option2,option3,option4,option5,option6,option7,option8
raceori4,2018,121.632946,27.356026,0.278117,0.161953,9,4,2,85,,,,
religsum,2018,62.556177,29.359823,0.289614,0.208638,37,9,52,,,,,
hedqual2,2018,52.013294,19.563177,0.182638,0.135071,27,11,16,25,18,,,
hhtypee,2018,67.655632,42.238219,0.420605,0.239031,77,17,,,,,,
childhh,2018,43.655064,30.838455,0.302185,0.199225,38,62,,,,,,
partyidn,2018,89.945956,20.808074,0.228687,0.147148,27,2,36,6,20,3,3,
smnews,2018,75.997886,26.417662,0.252899,0.18003,52,4,13,30,,,,
politics,2018,54.099692,19.949266,0.221688,0.139665,14,24,31,20,11,,,
redistrb,2018,60.632189,21.639642,0.199794,0.153984,42,28,28,,,,,
bigbusnn,2018,77.186717,22.857073,0.218619,0.161378,60,27,12,,,,,
wealth,2018,80.279244,23.012006,0.248042,0.138497,62,26,10,,,,,
richlaw,2018,66.888666,21.535824,0.205521,0.149647,60,21,17,,,,,
indust4,2018,67.804691,22.137061,0.213592,0.13999,52,28,18,,,,,
tradvals,2018,72.318093,22.331631,0.217437,0.160114,56,26,16,,,,,
stifsent,2018,77.51508,22.863758,0.24013,0.180871,65,24,9,,,,,
deathapp,2018,48.842044,18.579928,0.188712,0.133909,46,15,38,,,,,
obey,2018,82.000414,22.200493,0.208677,0.162858,70,18,10,,,,,
wronglaw,2018,67.982081,22.971556,0.21821,0.140973,37,35,27,,,,,
censor,2018,67.466571,21.634143,0.228797,0.160269,52,24,22,,,,,
welfhelp,2018,74.859342,23.933673,0.216183,0.170398,24,36,39,,,,,
morewelf,2018,69.944187,23.385445,0.225858,0.155279,27,35,36,,,,,
unempjob,2018,73.062181,22.255135,0.228572,0.151824,41,31,27,,,,,
sochelp,2018,71.922729,23.232922,0.214103,0.167677,21,28,39,,,,,
dolefidl,2018,66.510108,22.644641,0.232611,0.139839,27,36,36,,,,,
welffeet,2018,61.482613,21.92721,0.235707,0.172391,40,27,32,,,,,
damlives,2018,73.94323,23.05598,0.271375,0.150844,50,30,14,,,,,
proudwlf,2018,72.464069,23.383746,0.22716,0.171435,56,32,10,,,,,
govpriotop2,2018,55.314152,15.076892,0.164067,0.107194,9,8.5,11.5,9.5,4,11,7,11
poverty1,2018,52.333602,35.696784,0.357724,0.226562,21,51,,,,,,
poverty2,2018,40.355103,28.869226,0.273538,0.183985,41,31,,,,,,
homsbult,2018,64.178865,20.733849,0.215077,0.133577,14,11,36,,,,,
srsoccl1,2015,74.2218,25.188596,0.231591,0.163274,14,5,1,6,,,,
cycdang,2018,65.376063,21.877901,0.227339,0.177509,46,10,17,,,,,
plnenvt,2017,68.208,22.674469,0.213886,0.16946,4,6,9,,,,,
plnuppri,2017,64.754987,22.018777,0.220915,0.140903,9,5,5,,,,,
carreduc,2017,87.011259,23.264095,0.214249,0.156418,12,5,2,,,,,
carwalk2,2018,65.050926,19.333378,0.187196,0.13153,31,7,17,14,,,,
carbus2,2018,58.985862,18.995145,0.18341,0.125622,23,8,27,12,,,,
carbike2,2018,58.313035,18.114034,0.150426,0.119731,29,8,21,11,,,,
tstgov,2018,65.439848,25.333226,0.232039,0.177702,2,19,20,10,,,,
trstmed,2018,72.077454,25.879558,0.237913,0.188345,1,9,24,16,,,,
trstpol,2018,85.662789,25.808387,0.266807,0.149069,10,32,7,2,,,,
trstbank,2018,79.970944,27.10521,0.24331,0.172812,3,27,15,4,,,,
sciutr1,2018,61.202979,29.043095,0.30875,0.215975,28,37,7,,,,,
peoptrst,2018,84.559367,28.590503,0.302656,0.208894,2,37,26,5,,,,
cenchang,2018,97.607707,26.319495,0.248156,0.169019,6,29,5,1,,,,
tchwk,2018,86.297295,24.750321,0.229153,0.176526,0,5,31,26,9,,,
prevfr,2017,39.55809,28.430358,0.295222,0.162121,39,32,,,,,,
instubn2,2018,61.467029,21.797473,0.208998,0.141317,37,18,11,,,,,
unisubj,2018,66.388647,41.828364,0.432216,0.232056,13,56,,,,,,
rthdssa2,2015,79.940497,27.891948,0.232074,0.233623,32,22,5,3,,,,
sexrole2,2018,72.295591,23.135746,0.222888,0.167311,5,11,3,,,,,
relprob1,2018,66.782285,22.430722,0.251484,0.159232,32,10,7,,,,,
bodimr,2017,43.13442,30.540086,0.338384,0.217412,22,35,,,,,,
aborwrgb,2018,80.271316,23.88457,0.249367,0.191196,10,20,21,,,,,
gpaysup,2018,53.173585,19.969643,0.184513,0.155483,29,16,24,,,,,
tranneed,2018,67.468118,22.69672,0.2278,0.169065,9,15,45,,,,,
pms,2018,117.699793,21.985267,0.203529,0.138343,6,10,55,,,,,
homosex,2018,106.74892,21.729244,0.219145,0.132265,11,9,49,,,,,
ruhappy,2018,86.985558,27.891719,0.25232,0.185825,1,4,29,16,,,,
remlea,2018,53.005636,26.575554,0.284153,0.20265,26,36,13,,,,,
covid19,2020,1,1,1,1,1,1,1,,,,,
